record_id,customer_id,issue_flag,monitoring_issue,root_cause,alert_quality_assessment,recommended_fix
R001,C101,None,No material data quality issue identified,Rule and data appear aligned,Healthy,Continue routine monitoring
R002,C102,Stale risk rating,Incorrect threshold or scenario assignment,Customer profile not refreshed,High noise / weak detection,Refresh risk rating after review
R003,C103,Missing geography,Segmenting by jurisdiction may fail,Upstream data completeness problem,High noise / weak detection,Require geography at ingestion
R004,C104,Duplicate customer record,Activity split across profiles can suppress alerts,Identity resolution / deduplication problem,High noise / weak detection,Consolidate customer master and apply dedupe controls
R005,C105,Incorrect transaction coding,Wrong scenario may be used or correct scenario bypassed,Transaction mapping or coding error,High noise / weak detection,Validate transaction code mapping rules
R006,C106,Missing expected activity,Normal behavior may appear anomalous without baseline,Incomplete customer profile,High noise / weak detection,Populate expected activity from onboarding review
R007,C107,Delayed onboarding update,Monitoring still uses outdated risk treatment,Feed latency / stale customer file,High noise / weak detection,Shorten refresh cycle and reconcile deltas
R008,C108,None,No material data quality issue identified,Rule and data appear aligned,Healthy,Continue routine monitoring
R009,C109,Duplicate customer record,Activity split across profiles can suppress alerts,Identity resolution / deduplication problem,High noise / weak detection,Consolidate customer master and apply dedupe controls
R010,C110,None,No material data quality issue identified,Rule and data appear aligned,Healthy,Continue routine monitoring
